categoria;marca;modelo;unidades_instaladas;n_sedes
ROUTINGSWITCHER;KNOX;RS16*16HB;1;1
SELECTOR;EXTRON;DTP T DSW 4K 233;1;1
SELECTOR;EXTRON;IN1604 HD;1;1
SELECTOR;EXTRON;IN1606;1;1
SELECTOR;EXTRON;IN1608;1;1
SELECTOR CONMUTADOR VGA;EXTRON;SW2 VGA DA2A;1;1
SEÑALÉTICA;STEELCASE;ROOMWIZARD II;1;1
SIN CATEGORIA;LENOVO;THINKCENTRE M920Q;1;1
SIN CATEGORIA;LOGITECH;PERFORMANCE MX;1;1
SISTEMA DE DEBATE;BEYER DINAMIC;ORBIS CU;1;1
SISTEMA MICROFONÍA;SHURE;BLX1288;1;1
SOPORTE;VOGELS;MRF-1RP4;1;1
SOPORTE;VOGELS;PPC1585;1;1
SOPORTE;VOGELS;PVA 5070;1;1
SOPORTE CÁMARA;VOGELS;SOUND 3550;1;1
SOPORTE DE PIE;VOGELS;FD 2064S;1;1
SOPORTE PANTALLA;DIMASA;FLEXR;1;1
SOPORTE PANTALLA;EDUSTAND;EDUMOVE;1;1
SOPORTE PARED;EXTRON;UTS 100;1;1
SOPORTE PIE;VOGELS;T1844B;1;1
SOPORTE PROYECTOR;VOGELS;PPC 1555;1;1
SOPORTE PROYECTOR;VOGELS;PPC1585;1;1
SOUND STATION;AVER;VC520+;1;1
SOUNSTATION;LOGITECH;886-000056;1;1
SP DANTE;Q-SYS;CORE 8 FLEX;1;1
SPLITER;PINANSON;P740603;1;1
SPLITTER PRENSA;PINANSON;SPP X12;1;1
STEREO DOUBLE CASSETTE DECK;PIONEER;CT-W208R;1;1
SUPRESOR FEEDBACK;DBX;AFS 224;1;1
SWITCH;NETGEAR;GS308PP;1;1
SWITCH;NETGEAR;GSM 4212UX;1;1
SWITCH 4X1 (RACK);CRESTRON;HD-MD4X1-4K-E;1;1
SWITCH/SELECTOR;EXTRON;MVX SERIES;1;1
SWITCHER;D LINK;DGS – 1008 MP;1;1
SWITCHER;NETGEAR;GS305EPP;1;1
TARJETA DANTE;EXTRON;EXTRON AXI 44 AT;1;1
TARJETA SONIDO EXTERNA;M-AUDIO;BLX1288/MX53;1;1
TECLADO;LOGITECH;K400 PLUS;1;1
TECLADO;LOGITECH;MK700;1;1
TECLADO;LOGITECH;MX5500 REVOLUTION;1;1
TECLADO;LOGITECH;NP;1;1
TECLADO/RATÓN;LOGITECH;K400;1;1
TECLADO/RATÓN;LOGITECH;K400 PLUS TV;1;1
TECLADO/RATÓN;LOGITECH;K850;1;1
TECLADO/RATÓN;LOGITECH;MX 3200 LÁSER;1;1
TECLADO/RATÓN;LOGITECH;MX3200;1;1
TELÉFONO;CISCO IP;NP;1;1
TELÉFONO IP;CISCO;CP-7961;1;1
TELÉFONO IP;CISCO;CP-7975G;1;1
TOTEM;DIMASA;CONRUEDAS;1;1
TOTEM;DIMASA;FLEX-R;1;1
TOTEM;FONESTAR;STS-40106P;1;1
TOTEM;INDETERMINADO;CONRUEDAS;1;1
TOTEM;INDETERMINADO;SINRUEDAS;1;1
TOTEM;SERYSTILU;HILTON C2P2;1;1
TOTEM;VOGELS;SIN RUEDAS;1;1
TOTEM MONITOR;VOGELS;T1844B;1;1
TOTEM PANTALLA;DIMASA;FLEX -R;1;1
TOTEM PANTALLA;FONESTAR;CONRUEDAS;1;1
TOTEM PANTALLA;INDETERMINADA;SINRUEDAS;1;1
TOTEM PANTALLA;INDETERMINADO;CONRUEDAS;1;1
TOTEM PANTALLA;SERI STYLU;HILTON C2P2;1;1
TOTEM PANTALLA;VOGEL;CON RUEDAS;1;1
TOTEM PANTALLA;VOGELS;FD2064S;1;1
TOTEM PANTALLA;VOGELS;PUC 2718S;1;1
TOTEM PANTALLA;VOGEL´S;PIE SIN RUEDAS;1;1
TRANSMISOR;EXTRON;DTP HDMI 4K 230 TX;1;1
TRANSMISOR;SENNHEISER;BT T100;1;1
TRANSMISOR AUDIO;EXTRON;HAE 100;1;1
TRANSMISOR AUDIO;SHURE;SLXD1;1;1
TRANSMISOR VIDEO;CRESTRON;DM-NVX-E20;1;1
TRANSMISOR VÍDEO;CRESTRON;DM-NVX 360;1;1
TRANSMISOR VÍDEO;CRESTRON;DM-NVX D363;1;1
TRANSMISOR VÍDEO;CRESTRON;DM-TRRX-100-STR;1;1
TRANSMISOR VÍDEO;CRESTRON;HDRX101C-E;1;1
TÓTEM;DIMASA;MIF FLEX;1;1
TÓTEM;HILTON;C2P2;1;1
TÓTEM;NORTHBAYOU;AVA1500-60-1P;1;1
TÓTEM PANTALLA;DIMASA;MIF-FLEX;1;1
TÓTEM PIE CON RUEDAS;STYLU;HILTON C2P2;1;1
UNIDAD CONTROL MICROFONÍA;BOSCH;DCN - CCU LBB 4100/00;1;1
UNIDAD CONTROL MICROFONÍA;BOSCH;DCN-CCUB-2;1;1
UNIDAD CONTROL MICROFONÍA;BOSCH;INT-TX08;1;1
UNIDAD CONTROL MICROFONÍA;BOSCH;LBB4402/00;1;1
VIDEOCONFERENCIA;AVER;VB342;1;1
VIDEOCONFERENCIA;CISCO;BOARD 55;1;1
VIDEOCONFERENCIA;CISCO;BOARD PRO 55 G2;1;1
VIDEOCONFERENCIA;CISCO;CISCO CODEC PLUS;1;1
VIDEOCONFERENCIA;CISCO;CISCO IP CONFERENCE STATION 7937;1;1
VIDEOCONFERENCIA;CISCO;CISCO ROOM BAR PRO;1;1
VIDEOCONFERENCIA;CISCO;CS-DESKMINI-K9;1;1
VIDEOCONFERENCIA;CISCO;MX 300;1;1
VIDEOCONFERENCIA;CISCO;ROOM 55;1;1
VIDEOCONFERENCIA;CISCO;ROOMBAR PRO;1;1
VIDEOCONFERENCIA;CISCO;SPARK ROOM KIT PLUS;1;1
VIDEOCONFERENCIA;CISCO;WEBEX BOARD PRO;1;1
VIDEOCONFERENCIA;CISCO;WEBEX ROOM 70 SINGLE;1;1
VIDEOCONFERENCIA;CRESTRON;UC-B30-T;1;1
VIDEOCONFERENCIA;CRESTRON;UC-SB1-CAM;1;1
VIDEOCONFERENCIA;JABRA;PANACAST 50;1;1
VIDEOCONFERENCIA;LOGITECH;GRUPO LOGITECH;1;1
VIDEOCONFERENCIA;YEALINK;MEETING BAR A40;1;1
VIDEOCONFERENCIA;YEALINK;UVC85;1;1
VIDEOWALL;UNILUMIN;SMD 1,5;1;1
WEBCAM;LOGITECH;C 170;1;1
WEBCAM;LOGITECH;HD C920;1;1
WEBCAM;LOGITECH;PRO5000;1;1
WEBCAM;LOGITECH;QUICKCAM PRO 5000;1;1
↳CONTROLADORA;CRESTRON;CP4N;1;1
↳CONTROLADORA VW;DATAPATH;VSN1172;1;1
↳TARJETA DANTE;QSC;CORE 24 F;1;1
